Zipcode,Lat,Long,Risk
8817,40.52,-74.36,0
8818,40.52,-74.36,0
7305,40.71,-74.06,0
7039,40.78,-74.32,0
7940,40.75,-74.41,0
7114,40.72,-74.17,0
7199,40.72,-74.17,0
7502,40.91,-74.16,0
7920,40.67,-74.56,0
7924,40.73,-74.59,0
7927,40.82,-74.45,0
7801,40.88,-74.55,0
7407,40.9,-74.11,0
7603,40.87,-74.02,0
7421,41.16,-74.35,0
8829,40.66,-74.89,0
8905,40.48,-74.44,0
7974,40.7,-74.4,0
7656,41.03,-74.04,0
7507,40.95,-74.15,0
7538,40.93,-74.18,0
8855,40.51,-74.45,0
7661,40.92,-74.04,0
7070,40.81,-74.1,0
7461,41.2,-74.6,0
8001,39.56,-75.34,0
8006,39.75,-74.11,0
8302,39.42,-75.22,0
8103,39.93,-75.1,0
8003,39.9,-74.99,0
8029,39.84,-75.06,0
8030,39.89,-75.11,0
8528,40.37,-74.6,0
8734,39.86,-74.16,0
8070,39.65,-75.51,0
8080,39.75,-75.09,0
8601,40.22,-74.76,0
8618,40.22,-74.76,0
8690,40.22,-74.76,0
7825,40.98,-74.96,0
7834,40.89,-74.48,0
8820,40.52,-74.36,0
7932,40.77,-74.39,0
8823,40.44,-74.54,0
7026,40.87,-74.1,0
7419,41.14,-74.57,0
7648,40.99,-73.95,0
7524,40.91,-74.16,0
7977,40.7,-74.66,0
7078,40.74,-74.33,0
8876,40.57,-74.61,0
7460,41.1,-74.53,0
7670,40.91,-73.95,0
8202,39.09,-74.73,0
7719,40.17,-74.02,0
8012,39.79,-75.06,0
8204,38.94,-74.9,0
8002,39.9,-74.99,0
8215,39.56,-74.59,0
7734,40.44,-74.13,0
8735,39.96,-74.06,0
7747,40.41,-74.23,0
8341,39.51,-74.94,0
7757,40.31,-74.02,0
7703,40.31,-74.03,0
8362,39.46,-74.99,0
8008,39.55,-74.24,0
8515,40.15,-74.66,0
8316,39.28,-74.94,0
8052,39.95,-74.99,0
8330,39.45,-74.72,0
8061,39.81,-75.2,0
8226,39.26,-74.6,0
8066,39.83,-75.24,0
8083,39.84,-75.02,0
7677,41.02,-74.05,0
8802,40.67,-75.02,0
7828,40.87,-74.73,0
7018,40.76,-74.21,0
8836,40.6,-74.56,0
7650,40.84,-73.99,0
7544,40.91,-74.16,0
7094,40.78,-74.06,0
7090,40.65,-74.34,0
7983,40.82,-74.41,0
8988,40.45,-74.48,0
7003,40.81,-74.18,0
7007,40.83,-74.27,0
7202,40.66,-74.19,0
7207,40.66,-74.19,0
7846,40.96,-74.88,0
7036,40.62,-74.23,0
7107,40.72,-74.17,0
7184,40.72,-74.17,0
7188,40.72,-74.17,0
8879,40.47,-74.29,0
7088,40.71,-74.28,0
7465,41.04,-74.29,0
8720,40.13,-74.09,0
8406,39.34,-74.48,0
8016,40.07,-74.85,0
8106,39.88,-75.07,0
8213,39.51,-74.56,0
8035,39.87,-75.06,0
8036,39.98,-74.82,0
8037,39.65,-74.77,0
8038,39.47,-75.45,0
8220,39.49,-74.43,0
8221,39.34,-74.57,0
8064,39.92,-74.53,0
8240,39.46,-74.55,0
8557,40.45,-74.94,0
8031,39.86,-75.09,0
8753,39.95,-74.18,0
8603,40.22,-74.76,0
7481,40.99,-74.16,0
7601,40.88,-74.04,0
7960,40.79,-74.47,0
7104,40.72,-74.17,0
7450,40.98,-74.11,0
7075,40.85,-74.08,0
8884,40.39,-74.39,0
7877,41.09,-74.84,0
7087,40.76,-74.03,0
7092,40.68,-74.36,0
8403,39.31,-74.52,0
7735,40.43,-74.2,0
8738,40.04,-74.04,0
8051,39.78,-75.17,0
7750,40.33,-73.98,0
8077,40.01,-75.01,0
8553,40.4,-74.63,0
8756,39.95,-74.18,0
8604,40.22,-74.76,0
8606,40.22,-74.76,0
8608,40.22,-74.76,0
8610,40.22,-74.76,0
8835,40.54,-74.58,0
7040,40.73,-74.27,0
7946,40.66,-74.51,0
8922,40.48,-74.45,0
7939,40.66,-74.55,0
7002,40.66,-74.11,0
7621,40.92,-73.99,0
7004,40.88,-74.3,0
7830,40.71,-74.83,0
7010,40.82,-73.98,0
7029,40.74,-74.15,0
8844,40.47,-74.62,0
7676,40.98,-74.06,0
8824,40.41,-74.56,0
7644,40.87,-74.08,0
7041,40.74,-74.32,0
7045,40.9,-74.36,0
7950,40.83,-74.48,0
7860,41.05,-74.75,0
7439,41.07,-74.59,0
7652,40.94,-74.07,0
7057,40.85,-74.1,0
7061,40.63,-74.4,0
7452,40.95,-74.12,0
8201,39.42,-74.49,0
7718,40.41,-74.08,0
8505,40.14,-74.7,0
8109,39.94,-75.05,0
8315,39.22,-75.13,0
8217,39.6,-74.68,0
8320,39.37,-75.21,0
7748,40.39,-74.11,0
7756,40.21,-74.0,0
8542,40.35,-74.65,0
7760,40.36,-74.0,0
8079,39.56,-75.47,0
8750,40.12,-74.03,0
8250,39.28,-74.78,0
8007,39.87,-75.05,0
8011,39.92,-74.53,0
8020,39.8,-75.22,0
8050,39.69,-74.25,0
7746,40.31,-74.25,0
8057,39.97,-74.94,0
7753,40.21,-74.08,0
